PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,fatigue_flag
Ochai Agbaji,BKN,22,0.0,11.4,3.8,15.2,0
Drake Powell,BKN,26,11.4,1.9,1.9,15.2,0
Jalen Wilson,BKN,21,5.7,3.8,0.0,9.5,0
Terance Mann,BKN,34,7.6,3.8,1.9,13.3,0
Noah Clowney,BKN,0,0.0,0.0,0.0,0.0,0
Josh Minott,BKN,0,0.0,0.0,0.0,0.0,0
Nicolas Claxton,BKN,0,0.0,0.0,0.0,0.0,0
Tyson Etienne,BKN,0,0.0,0.0,0.0,0.0,0
Chaney Johnson,BKN,0,0.0,0.0,0.0,0.0,0
E.J. Liddell,BKN,0,0.0,0.0,0.0,0.0,0
Michael Porter Jr.,BKN,0,0.0,0.0,0.0,0.0,0
Payton Pritchard,BOS,45,35.8,9.5,11.0,56.3,1
Nikola Vučević,BOS,36,26.2,15.1,5.7,47.0,1
Jordan Walsh,BOS,40,22.0,11.4,3.8,37.2,1
Derrick White,BOS,40,12.4,7.6,12.4,32.4,1
Jaylen Brown,BOS,39,33.0,7.6,7.6,48.2,1
Baylor Scheierman,BOS,32,13.8,9.5,1.9,25.2,0
Neemias Queta,BOS,19,11.0,11.4,1.9,24.3,0
Sam Hauser,BOS,29,16.5,3.8,0.0,20.3,0
Ron Harper Jr.,BOS,22,0.0,5.7,1.9,7.6,0
Hugo González,BOS,12,0.0,3.8,0.0,3.8,0
Luka Garza,BOS,11,0.0,0.0,0.0,0.0,0
Amari Williams,BOS,0,0.0,0.0,0.0,0.0,0
Max Shulga,BOS,0,0.0,0.0,0.0,0.0,0
Jayson Tatum,BOS,0,0.0,0.0,0.0,0.0,0
John Tonje,BOS,0,0.0,0.0,0.0,0.0,0
Matas Buzelis,CHI,39,20.7,11.0,7.6,39.3,1
Rob Dillingham,CHI,41,22.0,1.9,13.3,37.2,1
Patrick Williams,CHI,47,16.5,5.7,11.4,33.6,1
Jaden Ivey,CHI,39,13.8,5.7,7.6,27.1,1
Collin Sexton,CHI,43,20.7,5.7,1.9,28.3,1
Guerschon Yabusele,CHI,34,17.9,3.8,3.8,25.5,0
Anfernee Simons,CHI,37,13.3,9.5,1.9,24.7,1
Nick Richards,CHI,28,9.5,7.6,0.0,17.1,0
