PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,PRA,prop_line,projected_PRA,edge
Julian Strawther,DEN,34,15.1,1.9,3.8,20.8,19.3,34.50938,15.209380340576171
Bruce Brown,DEN,40,13.8,5.7,3.8,23.3,21.8,34.145245,12.345244598388671
Cameron Johnson,DEN,39,9.5,7.6,1.9,19.0,17.5,33.74957,16.249568939208984
Jalen Pickett,DEN,11,5.7,1.9,0.0,7.6,6.1,9.844763,3.744762802124024
Jahmai Mashack,MEM,29,12.4,5.7,3.8,21.9,20.4,24.100983,3.7009826660156264
Jaylen Wells,MEM,33,23.4,1.9,0.0,25.3,23.8,30.055384,6.255383682250976
Cam Spencer,MEM,29,3.8,3.8,12.4,20.0,18.5,24.100983,5.600982666015625
Kentavious Caldwell-Pope,MEM,36,9.5,5.7,3.8,19.0,17.5,31.433765,13.933765411376953
Kyle Anderson,MEM,25,11.0,5.7,1.9,18.6,17.1,28.158054,11.05805435180664
Scotty Pippen Jr.,MEM,23,11.0,0.0,5.7,16.7,15.2,19.663315,4.463314819335938
Lawson Lovering,MEM,23,5.7,7.6,0.0,13.3,11.8,19.663315,7.863314819335937
Aaron Wiggins,OKC,34,16.5,5.7,3.8,26.0,24.5,34.50938,10.009380340576172
Jared McCain,OKC,30,16.5,7.6,1.9,26.0,24.5,27.55597,3.05596923828125
Cason Wallace,OKC,36,7.6,7.6,5.7,20.9,19.4,31.433765,12.033765411376955
Luguentz Dort,OKC,32,12.4,0.0,1.9,14.3,12.8,23.172539,10.372538757324218
Buddy Boeheim,OKC,13,5.7,0.0,0.0,5.7,4.2,9.025358,4.825358200073242
Alex Caruso,OKC,13,0.0,1.9,0.0,1.9,0.3999999999999999,9.025358,8.625358200073242
Jordan Goodwin,PHO,37,16.5,7.6,7.6,31.700000000000003,30.200000000000003,33.43345,3.2334487915039034
Amir Coffey,PHO,28,12.4,9.5,3.8,25.7,24.2,27.38701,3.187010574340821
Collin Gillespie,PHO,30,11.4,9.5,5.7,26.6,25.1,27.55597,2.4559692382812486
Ryan Dunn,PHO,30,3.8,7.6,1.9,13.3,11.8,27.55597,15.75596923828125
Mark Williams,PHO,21,11.4,1.9,0.0,13.3,11.8,18.530203,6.730202865600585
Nique Clifford,SAC,52,11.4,11.0,11.4,33.8,32.3,47.832817,15.532817077636722
Daeqwon Plowden,SAC,44,12.4,11.4,7.6,31.4,29.9,38.493004,8.593003845214845
Dylan Cardwell,SAC,36,11.4,13.8,5.7,30.9,29.4,31.433765,2.0337654113769545
Maxime Raynaud,SAC,37,13.3,7.6,1.9,22.8,21.3,33.43345,12.133448791503906
Doug McDermott,SAC,25,19.3,0.0,0.0,19.3,17.8,28.158054,10.35805435180664
Isaiah Stevens,SAC,28,11.4,1.9,7.6,20.9,19.4,27.38701,7.987010574340822
Cody Williams,UTA,34,12.4,9.5,3.8,25.7,24.2,34.50938,10.309380340576173
Ace Bailey,UTA,41,17.9,7.6,7.6,33.1,31.6,38.55782,6.957819366455077
John Konchar,UTA,26,0.0,1.9,0.0,1.9,0.3999999999999999,19.270727,18.870727157592775
Gui Santos,GS,40,12.4,9.5,11.4,33.3,31.799999999999997,34.145245,2.3452445983886747
Brandin Podziemski,GS,48,22.0,9.5,3.8,35.3,33.8,40.500607,6.700606536865237
Moses Moody,GS,48,23.4,7.6,3.8,34.8,33.3,40.500607,7.200606536865237
Pat Spencer,GS,41,12.4,7.6,7.6,27.6,26.1,38.55782,12.457819366455077
Al Horford,GS,36,11.4,7.6,1.9,20.9,19.4,31.433765,12.033765411376955
Luke Kornet,SA,21,7.6,5.7,3.8,17.1,15.600000000000001,18.530203,2.9302028656005845
Devin Vassell,SA,39,11.0,7.6,3.8,22.4,20.9,33.74957,12.849568939208986
Julian Champagnie,SA,26,0.0,5.7,1.9,7.6,6.1,19.270727,13.170727157592774
